현재시각,2023-03-21 13:51:54.373000,Unnamed: 2,Unnamed: 3,Unnamed: 4
순위,앨범 사진 링크 주소,곡 명,아티스트 명,앨범 명
1,https://cdnimg.melon.co.kr/cm2/album/images/111/27/145/11127145_20230102135733_500.jpg/melon/resize/120/quality/80/optimize,Ditto,NewJeans,NewJeans 'OMG'
2,https://cdnimg.melon.co.kr/cm2/album/images/111/27/145/11127145_20230102135733_500.jpg/melon/resize/120/quality/80/optimize,OMG,NewJeans,NewJeans 'OMG'
3,https://cdnimg.melon.co.kr/cm2/album/images/110/11/565/11011565_20220801102637_500.jpg/melon/resize/120/quality/80/optimize,Hype boy,NewJeans,NewJeans 1st EP 'New Jeans'
4,https://cdnimg.melon.co.kr/cm2/album/images/111/65/170/11165170_20230214120544_500.jpg/melon/resize/120/quality/80/optimize,Teddy Bear,STAYC(스테이씨),Teddy Bear
5,https://cdnimg.melon.co.kr/cm2/album/images/109/03/868/10903868_20220330103544_500.jpg/melon/resize/120/quality/80/optimize,사건의 지평선,윤하 (YOUNHA),YOUNHA 6th Album Repackage 'END THEORY : Final Edition'
6,https://cdnimg.melon.co.kr/cm2/album/images/111/66/539/11166539_20230207143921_500.jpg/melon/resize/120/quality/80/optimize,파이팅 해야지 (Feat. 이영지),부석순 (SEVENTEEN),부석순 1st Single Album 'SECOND WIND'
7,https://cdnimg.melon.co.kr/cm2/album/images/111/88/007/11188007_20230223114254_500.jpg/melon/resize/120/quality/80/optimize,사랑하기 싫어,지아,사랑하기 싫어
8,https://cdnimg.melon.co.kr/cm2/album/images/111/80/278/11180278_20230217160723_500.jpg/melon/resize/120/quality/80/optimize,심(心),DK(디셈버),심(心)
9,https://cdnimg.melon.co.kr/cm2/album/images/107/35/654/10735654_20211008114339_500.jpg/melon/resize/120/quality/80/optimize,사랑은 늘 도망가,임영웅,신사와 아가씨 OST Part.2
10,https://cdnimg.melon.co.kr/cm2/album/images/108/44/485/10844485_20221006154824_500.jpg/melon/resize/120/quality/80/optimize,I Don't Think That I Like Her,Charlie Puth,CHARLIE
11,https://cdnimg.melon.co.kr/cm2/album/images/111/46/937/11146937_20230112154123_500.jpg/melon/resize/120/quality/80/optimize,VIBE (feat. Jimin of BTS),태양,VIBE (feat. Jimin of BTS)
12,https://cdnimg.melon.co.kr/cm2/album/images/109/23/444/10923444_20220502140600_500.jpg/melon/resize/120/quality/80/optimize,우리들의 블루스,임영웅,IM HERO
13,https://cdnimg.melon.co.kr/cm2/album/images/111/75/689/11175689_20230214163916_500.jpg/melon/resize/120/quality/80/optimize,CHRISTIAN,Zior Park,WHERE DOES SASQUATCH LIVE? PART 1
14,https://cdnimg.melon.co.kr/cm2/album/images/110/11/565/11011565_20220801102637_500.jpg/melon/resize/120/quality/80/optimize,Attention,NewJeans,NewJeans 1st EP 'New Jeans'
15,https://cdnimg.melon.co.kr/cm2/album/images/109/23/444/10923444_20220502140600_500.jpg/melon/resize/120/quality/80/optimize,다시 만날 수 있을까,임영웅,IM HERO
16,https://cdnimg.melon.co.kr/cm2/album/images/111/93/225/11193225_20230228162826_500.jpg/melon/resize/120/quality/80/optimize,나비무덤,포맨 (4MEN),나비무덤
17,https://cdnimg.melon.co.kr/cm2/album/images/111/02/375/11102375_20221115101140_500.jpg/melon/resize/120/quality/80/optimize,London Boy,임영웅,Polaroid
18,https://cdnimg.melon.co.kr/cm2/album/images/111/02/375/11102375_20221115101140_500.jpg/melon/resize/120/quality/80/optimize,Polaroid,임영웅,Polaroid
19,https://cdnimg.melon.co.kr/cm2/album/images/110/78/496/11078496_20221014153848_500.jpg/melon/resize/120/quality/80/optimize,ANTIFRAGILE,LE SSERAFIM (르세라핌),ANTIFRAGILE
20,https://cdnimg.melon.co.kr/cm2/album/images/109/23/444/10923444_20220502140600_500.jpg/melon/resize/120/quality/80/optimize,무지개,임영웅,IM HERO
21,https://cdnimg.melon.co.kr/cm2/album/images/110/34/298/11034298_20220822101843_500.jpg/melon/resize/120/quality/80/optimize,After LIKE,IVE (아이브),After LIKE
22,https://cdnimg.melon.co.kr/cm2/album/images/104/12/319/10412319_20200403103006_500.jpg/melon/resize/120/quality/80/optimize,이제 나만 믿어요,임영웅,내일은 미스터트롯 우승자 특전곡
23,https://cdnimg.melon.co.kr/cm2/album/images/109/23/444/10923444_20220502140600_500.jpg/melon/resize/120/quality/80/optimize,아버지,임영웅,IM HERO
24,https://cdnimg.melon.co.kr/cm2/album/images/111/94/815/11194815_20230303100153_500.jpg/melon/resize/120/quality/80/optimize,on the street (with J. Cole),j-hope/J. Cole,on the street (with J. Cole)
25,https://cdnimg.melon.co.kr/cm2/album/images/109/23/444/10923444_20220502140600_500.jpg/melon/resize/120/quality/80/optimize,A bientot,임영웅,IM HERO
26,https://cdnimg.melon.co.kr/cm2/album/images/109/23/444/10923444_20220502140600_500.jpg/melon/resize/120/quality/80/optimize,인생찬가,임영웅,IM HERO
27,https://cdnimg.melon.co.kr/cm2/album/images/109/23/444/10923444_20220502140600_500.jpg/melon/resize/120/quality/80/optimize,손이 참 곱던 그대,임영웅,IM HERO
28,https://cdnimg.melon.co.kr/cm2/album/images/109/23/444/10923444_20220502140600_500.jpg/melon/resize/120/quality/80/optimize,사랑해 진짜,임영웅,IM HERO
29,https://cdnimg.melon.co.kr/cm2/album/images/108/71/162/10871162_20220217162422_500.jpg/melon/resize/120/quality/80/optimize,사랑인가 봐,멜로망스,사랑인가 봐 (사내맞선 OST 스페셜 트랙)
30,https://cdnimg.melon.co.kr/cm2/album/images/111/95/614/11195614_20230303182750_500.jpg/melon/resize/120/quality/80/optimize,Nostalgia,우디 (Woody),Nostalgia
31,https://cdnimg.melon.co.kr/cm2/album/images/109/23/444/10923444_20220502140600_500.jpg/melon/resize/120/quality/80/optimize,연애편지,임영웅,IM HERO
32,https://cdnimg.melon.co.kr/cm2/album/images/109/09/179/10909179_20220405103521_500.jpg/melon/resize/120/quality/80/optimize,LOVE DIVE,IVE (아이브),LOVE DIVE
33,https://cdnimg.melon.co.kr/cm2/album/images/104/79/150/10479150_20200918102847_500.jpg/melon/resize/120/quality/80/optimize,Dynamite,방탄소년단,Dynamite (DayTime Version)
34,https://cdnimg.melon.co.kr/cm2/album/images/110/62/364/11062364_20220922182518_500.jpg/melon/resize/120/quality/80/optimize,Rush Hour (Feat. j-hope of BTS),Crush,Rush Hour
35,https://cdnimg.melon.co.kr/cm2/album/images/110/31/616/11031616_20220817122214_500.jpg/melon/resize/120/quality/80/optimize,NIGHT DANCER,imase,NIGHT DANCER
36,https://cdnimg.melon.co.kr/cm/album/images/100/37/969/10037969_500.jpg/melon/resize/120/quality/80/optimize,봄날,방탄소년단,YOU NEVER WALK ALONE
37,https://cdnimg.melon.co.kr/cm2/album/images/109/23/444/10923444_20220502140600_500.jpg/melon/resize/120/quality/80/optimize,보금자리,임영웅,IM HERO
38,https://cdnimg.melon.co.kr/cm2/album/images/111/24/139/11124139_20221215162633_500.jpg/melon/resize/120/quality/80/optimize,Candy,NCT DREAM,Candy - Winter Special Mini Album
39,https://cdnimg.melon.co.kr/cm2/album/images/112/05/764/11205764_20230317094319_500.jpg/melon/resize/120/quality/80/optimize,Set Me Free Pt.2,지민,Set Me Free Pt.2
40,https://cdnimg.melon.co.kr/cm/album/images/023/36/926/2336926_500.jpg/melon/resize/120/quality/80/optimize,Dangerously,Charlie Puth,Nine Track Mind (Deluxe Edition)
41,https://cdnimg.melon.co.kr/cm2/album/images/111/40/018/11140018_20230105103451_500.jpg/melon/resize/120/quality/80/optimize,건물 사이에 피어난 장미 (Rose Blossom),H1-KEY (하이키),H1-KEY 1st Mini Album [Rose Blossom]
42,https://cdnimg.melon.co.kr/cm/album/images/022/32/505/2232505_500.jpg/melon/resize/120/quality/80/optimize,너의 모든 순간,성시경,별에서 온 그대 OST Part.7
43,https://cdnimg.melon.co.kr/cm2/album/images/110/78/852/11078852_20221017102947_500.jpg/melon/resize/120/quality/80/optimize,Nxde,(여자)아이들,I love
44,https://cdnimg.melon.co.kr/cm2/album/images/110/57/545/11057545_20221021124737_500.jpg/melon/resize/120/quality/80/optimize,Monologue,테이,Monologue
45,https://cdnimg.melon.co.kr/cm2/album/images/111/06/209/11106209_20221120120732_500.jpg/melon/resize/120/quality/80/optimize,Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack] (Feat. FIFA Sound),정국/방탄소년단,Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack]
46,https://cdnimg.melon.co.kr/cm2/album/images/106/12/483/10612483_20210521111412_500.jpg/melon/resize/120/quality/80/optimize,Butter,방탄소년단,Butter
47,https://cdnimg.melon.co.kr/cm2/album/images/108/44/485/10844485_20221006154824_500.jpg/melon/resize/120/quality/80/optimize,That's Hilarious,Charlie Puth,CHARLIE
48,https://cdnimg.melon.co.kr/cm2/album/images/109/75/276/10975276_20220603165713_500.jpg/melon/resize/120/quality/80/optimize,해요 (2022),#안녕,해요 (2022)
49,https://cdnimg.melon.co.kr/cm2/album/images/110/45/985/11045985_20220905151107_500.jpg/melon/resize/120/quality/80/optimize,새삥 (Prod. ZICO) (Feat. 호미들),지코 (ZICO),스트릿 맨 파이터(SMF) Original Vol.3 (계급미션)
50,https://cdnimg.melon.co.kr/cm2/album/images/111/87/922/11187922_20230223094104_500.jpg/melon/resize/120/quality/80/optimize,너와 함께,김민석 (멜로망스),너와 함께
51,https://cdnimg.melon.co.kr/cm2/album/images/111/28/774/11128774_20221220164233_500.jpg/melon/resize/120/quality/80/optimize,Say I Love You,우디 (Woody),Say I Love You (Re : WIND 4MEN Vol.04)
52,https://cdnimg.melon.co.kr/cm2/album/images/110/11/565/11011565_20220801102637_500.jpg/melon/resize/120/quality/80/optimize,Cookie,NewJeans,NewJeans 1st EP 'New Jeans'
53,https://cdnimg.melon.co.kr/cm2/album/images/109/34/470/10934470_20230119153132_500.jpg/melon/resize/120/quality/80/optimize,Unholy,Sam Smith/Kim Petras,Gloria
54,https://cdnimg.melon.co.kr/cm2/album/images/108/16/959/10816959_20211217144957_500.jpg/melon/resize/120/quality/80/optimize,취중고백,김민석 (멜로망스),취중고백
55,https://cdnimg.melon.co.kr/cm2/album/images/111/93/196/11193196_20230228155717_500.jpg/melon/resize/120/quality/80/optimize,혼자가 아닌 나,정효빈,혼자가 아닌 나
56,https://cdnimg.melon.co.kr/cm2/album/images/111/58/153/11158153_20230126154403_500.jpg/melon/resize/120/quality/80/optimize,Sugar Rush Ride,투모로우바이투게더,이름의 장: TEMPTATION
57,https://cdnimg.melon.co.kr/cm2/album/images/110/33/394/11033394_20220916124707_500.jpg/melon/resize/120/quality/80/optimize,Shut Down,BLACKPINK,BORN PINK
58,https://cdnimg.melon.co.kr/cm2/album/images/111/91/359/11191359_20230227182139_500.jpg/melon/resize/120/quality/80/optimize,사랑이라 믿었던 것들은 (Feat. 이수현),BIG Naughty (서동현),호프리스 로맨틱
59,https://cdnimg.melon.co.kr/cm2/album/images/106/46/395/10646395_20210707141710_500.jpg/melon/resize/120/quality/80/optimize,STAY,The Kid LAROI/Justin Bieber,Stay
60,https://cdnimg.melon.co.kr/cm2/album/images/106/48/182/10648182_20210709104950_500.jpg/melon/resize/120/quality/80/optimize,Permission to Dance,방탄소년단,Butter / Permission to Dance
61,https://cdnimg.melon.co.kr/cm2/album/images/108/90/384/10890384_20220314111504_500.jpg/melon/resize/120/quality/80/optimize,TOMBOY,(여자)아이들,I NEVER DIE
62,https://cdnimg.melon.co.kr/cm2/album/images/108/97/407/10897407_20220323150744_500.jpg/melon/resize/120/quality/80/optimize,내가 아니라도,주호,내가 아니라도
63,https://cdnimg.melon.co.kr/cm2/album/images/109/37/474/10937474_20220428225312_500.jpg/melon/resize/120/quality/80/optimize,That That (prod. & feat. SUGA of BTS),싸이 (PSY),싸다9
64,https://cdnimg.melon.co.kr/cm2/album/images/111/65/170/11165170_20230214120544_500.jpg/melon/resize/120/quality/80/optimize,Poppy (Korean Ver.),STAYC(스테이씨),Teddy Bear
65,https://cdnimg.melon.co.kr/cm2/album/images/111/25/247/11125247_20221216121651_500.jpg/melon/resize/120/quality/80/optimize,NOT SORRY (Feat. pH-1) (Prod. by Slom),이영지,쇼미더머니 11 Episode 3
66,https://cdnimg.melon.co.kr/cm2/album/images/110/00/171/11000171_20220708163659_500.jpg/melon/resize/120/quality/80/optimize,그때 그 순간 그대로 (그그그),WSG워너비 (가야G),WSG워너비 1집
67,https://cdnimg.melon.co.kr/cm2/album/images/109/39/458/10939458_20220502123814_500.jpg/melon/resize/120/quality/80/optimize,FEARLESS,LE SSERAFIM (르세라핌),FEARLESS
68,https://cdnimg.melon.co.kr/cm2/album/images/112/05/313/11205313_20230316151054_500.jpg/melon/resize/120/quality/80/optimize,결국엔 너에게 닿아서,WSG워너비 (가야G),결국엔 너에게 닿아서
69,https://cdnimg.melon.co.kr/cm2/album/images/110/33/394/11033394_20220916124707_500.jpg/melon/resize/120/quality/80/optimize,Pink Venom,BLACKPINK,BORN PINK
70,https://cdnimg.melon.co.kr/cm2/album/images/109/95/477/10995477_20220701165440_500.jpg/melon/resize/120/quality/80/optimize,그라데이션,10CM,5.3
71,https://cdnimg.melon.co.kr/cm2/album/images/106/10/525/10610525_20210518143433_500.jpg/melon/resize/120/quality/80/optimize,다정히 내 이름을 부르면,경서예지/전건호,다정히 내 이름을 부르면 (경서예지 x 전건호)
72,https://cdnimg.melon.co.kr/cm2/album/images/109/25/762/10925762_20220419152007_500.jpg/melon/resize/120/quality/80/optimize,정이라고 하자 (Feat. 10CM),BIG Naughty (서동현),정이라고 하자
73,https://cdnimg.melon.co.kr/cm2/album/images/109/89/806/10989806_20220623153505_500.jpg/melon/resize/120/quality/80/optimize,Left and Right (Feat. Jung Kook of BTS),Charlie Puth/정국/방탄소년단,Left and Right (Feat. Jung Kook of BTS)
74,https://cdnimg.melon.co.kr/cm2/album/images/107/78/556/10778556_20211116105621_500.jpg/melon/resize/120/quality/80/optimize,오르트구름,윤하 (YOUNHA),YOUNHA 6th Album 'END THEORY'
75,https://cdnimg.melon.co.kr/cm2/album/images/111/21/346/11121346_20221213100914_500.jpg/melon/resize/120/quality/80/optimize,그대를 알고,송하예,그대를 알고
76,https://cdnimg.melon.co.kr/cm2/album/images/111/99/569/11199569_20230309101206_500.jpg/melon/resize/120/quality/80/optimize,Expectations,Anne-Marie/민니 ((여자)아이들)/(여자)아이들,Expectations
77,https://cdnimg.melon.co.kr/cm2/album/images/111/46/628/11146628_20230112111111_500.jpg/melon/resize/120/quality/80/optimize,마지막 사랑,신예영,마지막 사랑
78,https://cdnimg.melon.co.kr/cm2/album/images/110/62/828/11062828_20220923105240_500.jpg/melon/resize/120/quality/80/optimize,그중에 그대를 만나,김호중,삼남매가 용감하게 OST Part.1
79,https://cdnimg.melon.co.kr/cm/album/images/101/49/492/10149492_500.jpg/melon/resize/120/quality/80/optimize,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,'키스 먼저 할까요?' OST Part.3
80,https://cdnimg.melon.co.kr/cm2/album/images/111/83/717/11183717_20230222013603_500.jpg/melon/resize/120/quality/80/optimize,이젠 안녕,투모로우바이투게더,이젠 안녕 (연애혁명 X 투모로우바이투게더)
81,https://cdnimg.melon.co.kr/cm2/album/images/107/98/794/10798794_20211201113915_500.jpg/melon/resize/120/quality/80/optimize,ELEVEN,IVE (아이브),ELEVEN
82,https://cdnimg.melon.co.kr/cm2/album/images/111/54/876/11154876_20230121133335_500.jpg/melon/resize/120/quality/80/optimize,당신을 만나,김호중/송가인,당신을 만나
83,https://cdnimg.melon.co.kr/cm2/album/images/111/15/359/11115359_20221202124614_500.jpg/melon/resize/120/quality/80/optimize,잘가요,주호,잘가요
84,https://cdnimg.melon.co.kr/cm2/album/images/111/54/383/11154383_20230120160612_500.jpg/melon/resize/120/quality/80/optimize,네가 보고 싶은 건 자연스러운 거겠지,신예영,혼잣말 獨白
85,https://cdnimg.melon.co.kr/cm2/album/images/109/79/636/10979636_20220609175418_500.jpg/melon/resize/120/quality/80/optimize,Yet To Come,방탄소년단,Proof
86,https://cdnimg.melon.co.kr/cm2/album/images/111/30/072/11130072_20221226144743_500.jpg/melon/resize/120/quality/80/optimize,그댄 행복에 살텐데 (2022),최유리,그댄 행복에 살텐데 (2022)
87,https://cdnimg.melon.co.kr/cm2/album/images/109/29/486/10929486_20220422151852_500.jpg/melon/resize/120/quality/80/optimize,나의 X에게,경서,나의 X에게
88,https://cdnimg.melon.co.kr/cm2/album/images/110/63/205/11063205_20220923155512_500.jpg/melon/resize/120/quality/80/optimize,딱 10CM만,10CM/BIG Naughty (서동현),딱 10CM만
